Age,Income,Year_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Previous,Complain,ChildrenHome,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Response
37,31158.0,9.0,62,25,6,16,20,0,5,2,2,0,3,8,0,0,1,0,0,1,0,0,0,1,0,0,0
43,61825.0,8.0,56,162,50,100,55,30,27,1,4,2,8,4,0,0,1,0,0,1,0,0,0,0,1,0,0
56,30843.0,7.0,43,24,0,2,0,0,9,2,1,1,2,5,1,0,2,0,0,0,0,1,0,0,0,1,0
46,78416.0,7.0,99,453,38,279,188,38,183,2,7,7,10,3,0,0,1,0,0,1,0,0,0,0,0,1,0
51,157733.0,9.0,37,39,1,9,2,0,8,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0
47,7500.0,9.0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,1,0,0,0,1,0,0,1,0,0,0
67,46015.0,7.0,25,38,0,2,0,0,6,1,1,0,3,7,1,0,2,0,0,0,0,1,0,0,0,1,0
63,65031.0,9.0,29,258,107,291,84,37,86,4,10,3,13,7,0,0,1,0,0,1,0,0,0,1,0,0,0
68,65324.0,7.0,0,384,0,102,21,32,5,3,6,2,9,4,0,0,1,0,0,0,0,1,0,1,0,0,0
50,37787.0,8.0,50,40,1,40,4,3,18,1,3,0,3,8,0,0,1,0,0,0,1,0,0,1,0,0,0
36,42386.0,9.0,43,65,4,16,0,4,11,1,3,0,3,8,0,0,1,0,0,0,1,0,0,0,0,1,0
50,46053.0,9.0,46,56,10,92,19,7,25,3,3,2,4,5,0,0,1,0,0,1,0,0,0,0,0,1,0
57,44300.0,8.0,65,30,0,9,0,0,3,2,1,0,3,6,0,0,2,0,0,1,0,0,0,1,0,0,0
67,37244.0,8.0,90,18,2,10,0,0,25,1,1,1,2,7,1,0,2,0,0,1,0,0,1,0,0,0,0
55,62513.0,8.0,16,520,42,98,0,42,14,2,6,4,10,6,0,0,1,0,0,0,1,0,0,0,0,1,0
72,64866.0,8.0,9,508,5,21,7,5,10,4,7,3,7,5,1,0,1,0,0,0,1,0,0,0,1,0,0
44,36975.0,8.0,50,10,6,11,0,4,2,1,1,0,3,7,0,0,1,1,0,0,0,0,0,0,1,0,0
57,29672.0,8.0,6,9,1,3,0,4,8,1,0,0,3,6,0,0,2,0,0,1,0,0,0,0,0,1,0
45,34487.0,9.0,94,19,18,33,24,1,8,3,3,0,3,9,0,0,2,0,0,0,0,1,1,0,0,0,0
51,70886.0,8.0,65,407,70,239,103,88,53,1,5,4,4,2,0,0,1,0,0,1,0,0,0,1,0,0,0
49,46094.0,7.0,62,12,2,20,3,2,5,1,1,0,3,7,0,0,2,1,0,0,0,0,0,1,0,0,0
47,80144.0,8.0,47,240,132,445,250,192,108,1,3,7,8,1,0,0,0,0,0,1,0,0,0,0,0,1,0
53,23228.0,8.0,71,13,2,18,6,1,0,2,2,0,3,8,0,0,1,0,0,1,0,0,0,0,0,1,0
47,37368.0,8.0,4,3,2,11,2,2,10,1,1,0,2,6,1,0,1,0,0,0,1,0,0,1,0,0,0
65,71113.0,8.0,95,495,33,255,11,33,8,4,6,7,9,4,0,0,1,0,0,1,0,0,0,1,0,0,0
59,80124.0,7.0,47,483,84,398,205,84,241,1,3,7,8,1,1,0,0,0,0,1,0,0,0,1,0,0,0
56,63810.0,9.0,45,977,12,253,16,12,101,4,4,3,12,8,1,0,1,0,0,1,0,0,0,0,1,0,0
37,18169.0,9.0,40,9,0,5,0,0,7,1,1,0,2,8,0,0,1,0,0,0,0,1,0,1,0,0,0
58,62905.0,8.0,68,166,75,96,119,107,59,3,7,2,8,4,0,0,1,1,0,0,0,0,0,1,0,0,0
67,76998.0,8.0,85,1449,89,161,69,35,107,2,11,8,8,6,1,0,1,0,0,1,0,0,0,1,0,0,0
46,37697.0,7.0,82,34,6,21,11,4,8,1,2,1,3,6,0,0,1,0,0,1,0,0,0,0,1,0,0
44,36550.0,9.0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,1,1,0,0,0,0,0,1,0,0,0
51,60504.0,7.0,73,458,0,24,6,4,34,2,6,2,8,6,0,0,1,0,0,0,0,1,0,0,1,0,0
76,66835.0,8.0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,1,0,0,1,0,0,0
46,60482.0,9.0,81,255,43,134,37,14,24,1,7,2,7,7,0,0,1,0,0,0,1,0,0,0,1,0,0
31,49767.0,9.0,92,202,47,197,55,42,149,1,5,4,8,4,0,0,0,0,0,1,0,0,0,0,1,0,0
48,67445.0,9.0,63,757,80,217,29,80,11,5,9,6,12,6,0,0,1,0,0,1,0,0,0,1,0,0,0
54,70777.0,8.0,80,554,35,113,0,7,78,3,5,3,12,3,0,0,1,0,0,0,1,0,0,1,0,0,0
69,56129.0,8.0,65,320,48,133,39,72,48,4,6,2,10,4,0,0,1,0,0,0,1,0,0,0,0,1,0
46,56939.0,8.0,19,256,34,103,90,29,49,2,3,3,10,3,0,0,1,0,0,1,0,0,0,1,0,0,0
43,32765.0,8.0,49,13,3,17,7,3,3,2,2,0,4,5,0,0,1,0,0,0,1,0,0,1,0,0,0
72,54432.0,8.0,37,33,0,5,0,0,0,1,1,0,3,4,0,0,3,0,0,0,0,1,0,1,0,0,0
67,51124.0,8.0,79,26,1,11,0,1,4,2,1,0,3,3,0,0,2,0,0,0,1,0,0,0,1,0,0
48,18393.0,8.0,2,7,10,13,16,0,4,2,3,0,3,8,0,0,1,0,1,0,0,0,0,1,0,0,0
48,49669.0,7.0,97,166,5,107,11,8,29,2,5,1,6,6,0,0,1,1,0,0,0,0,0,0,0,1,0
41,24336.0,9.0,82,1,6,2,8,2,12,1,1,0,2,7,0,0,1,1,0,0,0,0,0,0,1,0,0
54,48985.0,8.0,13,19,13,18,10,7,8,1,1,1,3,3,0,0,1,1,0,0,0,0,0,1,0,0,0
122,36640.0,8.0,99,15,6,8,7,4,25,1,2,1,2,5,0,1,1,1,0,0,0,0,1,0,0,0,0
61,59184.0,9.0,6,341,142,113,259,151,66,3,6,6,12,5,0,0,1,1,0,0,0,0,0,0,1,0,0
52,62466.0,8.0,13,129,129,259,168,121,83,5,6,3,12,4,0,0,1,1,0,0,0,0,0,1,0,0,0
69,48686.0,8.0,8,10,0,7,2,0,1,1,1,0,2,8,0,0,3,0,0,1,0,0,0,1,0,0,0
54,38443.0,8.0,58,32,0,5,0,0,1,2,1,0,3,7,0,0,2,0,0,0,0,1,0,1,0,0,0
40,27590.0,8.0,38,6,0,5,0,0,1,1,1,0,2,7,0,0,1,0,0,0,1,0,0,0,0,1,0
71,60689.0,9.0,23,240,90,216,63,6,24,4,4,4,10,3,0,0,1,0,0,1,0,0,0,0,1,0,0
70,75278.0,9.0,17,304,98,230,150,74,74,1,6,3,13,3,0,0,0,0,0,1,0,0,0,0,0,1,0
65,26091.0,8.0,84,15,10,19,8,17,20,3,2,1,3,5,0,0,2,0,0,1,0,0,0,0,0,1,0
43,23724.0,8.0,65,5,23,15,0,18,14,2,2,0,3,8,0,0,1,0,1,0,0,0,0,0,0,1,0
66,50943.0,8.0,49,31,0,7,2,0,6,1,1,0,3,5,0,0,1,0,0,0,1,0,0,0,0,1,0
54,36065.0,9.0,54,18,7,34,10,2,3,3,3,0,3,8,0,0,2,0,0,1,0,0,0,0,1,0,0
54,41335.0,8.0,24,112,19,21,16,14,5,3,4,1,4,7,0,0,1,0,0,0,1,0,1,0,0,0,0
48,20130.0,8.0,99,0,6,3,7,6,12,1,1,0,3,8,0,0,0,1,0,0,0,0,0,1,0,0,0
57,69139.0,8.0,23,86,12,75,33,15,6,1,4,1,5,4,0,0,1,0,0,1,0,0,0,1,0,0,0
44,46377.0,8.0,89,37,0,46,4,3,0,1,2,1,3,4,0,0,1,0,0,0,0,1,0,1,0,0,0
50,65685.0,8.0,54,642,14,49,0,7,57,1,9,2,9,5,0,0,1,0,0,1,0,0,0,1,0,0,0
47,36663.0,7.0,40,18,0,6,3,3,5,1,1,1,3,2,0,0,1,0,0,0,0,1,0,1,0,0,0
45,41124.0,9.0,41,281,7,84,15,0,119,7,7,3,4,8,0,0,1,0,0,1,0,0,0,1,0,0,0
46,40780.0,9.0,30,229,27,71,13,3,34,4,7,1,5,9,0,0,1,0,0,1,0,0,1,0,0,0,0
71,67381.0,9.0,67,815,8,53,11,0,70,4,2,2,9,7,1,0,1,0,0,0,1,0,0,1,0,0,0
48,40344.0,8.0,48,210,0,6,0,0,2,2,4,1,5,7,0,0,1,0,0,0,0,1,0,1,0,0,0
59,38620.0,8.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,1,0,0,0,0,1,0
44,34043.0,8.0,97,20,2,14,3,0,10,1,2,0,2,9,0,0,1,0,0,0,0,1,0,0,0,1,0
42,62994.0,8.0,74,224,12,48,4,12,12,1,6,2,4,6,0,0,1,0,0,1,0,0,0,0,0,1,0
65,6835.0,9.0,76,107,2,12,2,2,12,0,0,0,1,20,0,0,1,0,0,0,0,1,0,0,0,1,0
54,44377.0,9.0,70,224,0,30,0,0,10,8,5,1,5,8,0,0,2,0,0,0,0,1,0,1,0,0,0
